index,cluster,psnr_standard,psnr_optimized,bpp_standard,bpp_optimized,bpp_uncompressed,ssim_standard,ssim_optimized
0,4,31.04722991,31.22676431,1.997200012,2.15032196,8,0.883938485,0.895200081
1,1,34.78560837,34.81283171,1.29032135,1.301334381,8,0.923349633,0.923844465
2,4,35.57297891,35.81527725,1.072479248,1.126243591,8,0.922928246,0.928818439
3,1,30.17075565,30.19617813,2.60464859,2.671733856,8,0.901166005,0.904119496
4,4,31.61509239,31.97966131,1.944290161,2.082977295,8,0.902760381,0.914744599
5,6,35.15694869,35.90932878,1.075748444,1.350120544,8,0.917390487,0.933163385
6,4,35.32507332,35.62352042,1.278015137,1.337120056,8,0.929242793,0.934285213
7,1,33.2102517,33.27902868,1.790348053,1.814743042,8,0.941968578,0.943218241
8,0,30.505589,30.93421607,2.370605469,2.9609375,8,0.901571217,0.925604302
9,4,32.2954848,32.71330444,1.979198456,2.101650238,8,0.938346217,0.946105808
10,4,30.6973856,30.94375709,2.140289307,2.328800201,8,0.875239314,0.891584651
11,1,33.2052268,33.26888621,1.42383194,1.455528259,8,0.906403287,0.908460175
12,4,33.28286508,33.71873319,1.582187653,1.687095642,8,0.927898346,0.936490427
13,4,30.72741016,31.00034753,2.275268555,2.517391205,8,0.891108398,0.907283549
14,1,31.7864862,31.82424363,2.187515259,2.224887848,8,0.942987381,0.943424079
15,0,33.29591487,34.10147173,1.405353546,1.793945313,8,0.912791745,0.935795937
16,1,32.31214884,32.36912309,1.565921783,1.601024628,8,0.868304336,0.871017651
17,5,36.19937752,36.90225528,0.927768707,1.194999695,8,0.919302701,0.93284972
18,4,31.48782621,31.65578065,1.798610687,1.950637817,8,0.860445131,0.871977733
19,4,31.77344531,32.166501,2.093788147,2.234226227,8,0.920977706,0.931573346
20,4,30.89067111,31.04145649,2.180107117,2.390525818,8,0.883773977,0.895088439
21,4,35.39178953,35.60864248,0.987663269,1.052188873,8,0.904309449,0.910716915
22,0,34.16675977,35.10604321,1.369205475,1.741565704,8,0.925080042,0.941518108
23,4,30.07141556,30.19840094,2.627456665,2.852848053,8,0.895820547,0.905682203
24,4,36.74802604,37.07460783,1.068126678,1.108764648,8,0.961467895,0.964500201
25,4,33.80026067,34.17665002,1.473121643,1.552707672,8,0.914918804,0.922126584
26,4,39.7540325,39.94723945,0.921447754,0.935241699,8,0.959404634,0.959615751
27,1,30.97047994,31.01839965,2.260814667,2.307559967,8,0.891103251,0.893503925
28,4,31.23233546,31.54256157,2.039310455,2.194702148,8,0.9004688,0.915589012
29,1,32.2176456,32.25565924,1.979732513,2.007644653,8,0.931736609,0.933078515
30,0,33.09823817,34.06060327,1.507133484,1.918636322,8,0.922750935,0.943981482
31,4,33.26664941,33.74118625,1.515132904,1.613132477,8,0.893617082,0.908448463
32,4,32.79431866,33.15727226,1.780532837,1.959915161,8,0.912180597,0.924247434
33,4,32.19472109,32.60423087,1.72215271,1.842983246,8,0.890470676,0.904675732
34,4,32.11024718,32.57441784,1.9529953,2.082958221,8,0.918283107,0.931505804
35,4,31.58044448,32.06161212,2.20734024,2.355182648,8,0.940729671,0.950583002
36,4,31.54038699,31.96982643,2.04958725,2.195606232,8,0.907966188,0.922508026
37,4,31.05743875,31.41751258,2.15983963,2.318267822,8,0.896631647,0.912387096
38,1,32.19077466,32.34760264,1.912334442,1.962718964,8,0.915357181,0.919697076
39,4,31.63445483,31.90156379,1.877235413,1.999767303,8,0.878413749,0.890602536
40,5,31.78215818,32.38689583,2.118572235,2.518928528,8,0.930890585,0.944123433
41,1,34.35856533,34.40945414,1.511173248,1.525550842,8,0.941415638,0.942247001
42,4,31.29843112,31.63863359,2.309719086,2.531471252,8,0.927979771,0.940540312
43,4,32.56137005,32.92488024,1.759902954,1.935642242,8,0.921265377,0.93240944
44,4,38.76486698,40.79804108,1.309440613,1.301742554,8,0.979734813,0.985090058
45,6,39.00394692,42.89605777,1.32138443,1.338634491,8,0.975389082,0.988115173
46,0,40.19323452,44.10300691,1.036838531,1.057186127,8,0.980523995,0.988989766
47,6,38.84358394,43.01020151,1.271312714,1.284111023,8,0.975214095,0.986251163
48,1,38.35011775,39.17578115,1.480445862,1.44908905,8,0.977618338,0.980948932
